"incident_id","underlying_case_type","overlapping_case_type_flags","victim_suicide","homicide_suicide","victim_alcohol_indicator","perpetrator_alcohol_indicator","both_alcohol_indicators"
"INC-0328","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0329","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0330","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0331","Other familial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0332","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0334","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0335","IPV",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"INC-0336","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0337","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0338","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0339","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0340","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0341","Parricide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0342","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0343","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0344","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0345","Other familial",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0346","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0347","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0348","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0349","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0350","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0351","IPV",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"INC-0352","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0353","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0354","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0355","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0356","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0357","IPV",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"INC-0358","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0359","IPV",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"INC-0360","Other familial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0361","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0363","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
